timestamp,equity
2024-11-06 19:27:00,2492.0
2024-11-12 10:56:00,2492.0
2024-11-18 02:25:00,2492.0
2024-11-21 16:51:00,2492.0
2024-11-27 08:20:00,2492.0
2024-12-03 04:29:00,2492.0
2024-12-06 19:03:00,2492.0
2024-12-12 10:32:00,2492.0
2024-12-18 02:02:00,2492.0
2024-12-23 16:30:00,2492.0
2024-12-30 11:12:00,2492.0
2025-01-06 02:40:00,2492.0
2025-01-09 17:06:00,2492.0
2025-01-15 08:35:00,2492.0
2025-01-21 02:33:00,2492.0
2025-01-24 16:59:00,2492.0
2025-01-30 08:27:00,2492.0
2025-02-10 14:24:00,2492.0
2025-02-14 05:52:00,2492.0
2025-02-19 23:02:00,2492.0
2025-02-25 14:31:00,2492.0
2025-03-03 06:00:00,2492.0
2025-03-06 20:26:00,2492.0
2025-03-12 11:55:00,2492.0
2025-03-18 03:24:00,2492.0
2025-03-21 17:50:00,2492.0
2025-03-27 09:22:00,2492.0
